state_code,municipality_code,risk_prediction,support_count,social_assistance_count,outpatient_consultation_count,hospitalization_count,carcinogenic_water_sources_count,water_sources_carcinogens_2B,water_sources_carcinogens_1,emission_concentration,marginalization,electricity_fuel,firewood_fuel,oil_fuel,brick_factory,stationary_risk_sources
7,24,0.33939993528228435,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,8.290063916,0.0,0.0,0.0,0.0,0.0
7,27,0.10221046939226502,0.0,0.0,74.0,1.0,0.0,0.0,0.0,3.6221,28.622910766,0.0,0.0,0.0,0.0,0.0
7,31,-1.4649780768143268,0.0,0.0,2352.0,0.0,0.0,0.0,0.0,0.0,10.830475582,0.0,0.0,0.0,0.0,0.0
7,32,0.17692641336176212,0.0,0.0,99.0,0.0,0.0,0.0,0.0,0.0,9.100520454,0.0,0.0,0.0,0.0,0.0
7,34,-0.7887598017027344,0.0,0.0,154.0,12.0,0.0,0.0,0.0,0.0,17.027500765,0.0,0.0,0.0,0.0,0.0
7,37,0.3119420897869404,0.0,0.0,66.0,0.0,0.0,0.0,0.0,0.0,7.206434181,0.0,0.0,0.0,0.0,0.0
7,38,0.12773237761626088,0.0,0.0,83.0,0.0,0.0,0.0,0.0,0.0,3.551976479,0.0,0.0,0.0,0.0,0.0
7,40,-0.9714818085726863,0.0,0.0,141.0,11.0,0.0,0.0,0.0,38.2236,16.996185908,0.0,0.0,0.0,0.0,0.0
7,43,0.581834854419442,0.0,0.0,25.0,0.0,0.0,0.0,0.0,0.0,5.395239637,0.0,0.0,0.0,0.0,0.0
7,46,0.0810805672643964,0.0,0.0,62.0,0.0,0.0,0.0,0.0,0.0,12.820724482000001,0.0,0.0,0.0,0.0,0.0
7,48,1.0594872027518287,0.0,0.0,38.0,0.0,0.0,0.0,0.0,207147.81,3.655796478,0.0,0.0,0.0,0.0,0.0
7,49,0.182381481677162,0.0,0.0,30.0,4.0,0.0,0.0,0.0,0.0,0.873782004,0.0,0.0,0.0,0.0,0.0
7,51,0.3399006076954764,0.0,0.0,139.0,9.0,0.0,0.0,0.0,0.0,17.267284211,0.0,0.0,0.0,0.0,0.0
7,54,1.1405244275637252,0.0,0.0,75.0,0.0,0.0,0.0,0.0,0.0,7.171049047,0.0,0.0,0.0,0.0,0.0
7,57,-1.0443683104266044,0.0,0.0,326.0,15.0,0.0,0.0,0.0,0.0,14.658644808,0.0,0.0,0.0,0.0,0.0
7,59,-3.996766416690774,35.0,0.0,2033.0,64.0,0.0,0.0,0.0,0.0,39.51038285,0.0,0.0,0.0,0.0,0.0
7,63,0.8120030424629292,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.810658841,0.0,0.0,0.0,0.0,0.0
7,65,-4.219270403270604,4.0,0.0,234.0,20.0,0.0,0.0,0.0,8.9933,21.995933859,0.0,0.0,0.0,0.0,0.0
7,67,0.5109244288045377,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,1.701762888,0.0,0.0,0.0,0.0,0.0
7,68,0.8996508796721858,1.0,1.0,24.0,12.0,0.0,0.0,0.0,794937.73,7.329722053,0.0,0.0,0.0,0.0,0.0
7,69,-0.16396844044372036,0.0,0.0,592.0,32.0,0.0,0.0,0.0,0.0,13.652857309999998,0.0,0.0,0.0,0.0,0.0
7,74,0.4097136207272088,0.0,0.0,34.0,7.0,0.0,0.0,0.0,1368159.5932999998,12.997765569,0.0,0.0,0.0,0.0,0.0
7,75,0.5623710372799963,0.0,0.0,17.0,1.0,0.0,0.0,0.0,0.0,8.379385519,0.0,0.0,0.0,0.0,0.0
7,76,0.5871516756214287,0.0,0.0,35.0,0.0,0.0,0.0,0.0,0.0,2.579404066,0.0,0.0,0.0,0.0,0.0
7,77,-0.7979475039747176,0.0,0.0,157.0,2.0,0.0,0.0,0.0,0.0,3.676826041,0.0,0.0,0.0,0.0,0.0
7,78,-4.014457816690453,11.0,0.0,283.0,80.0,0.0,0.0,0.0,0.0,57.958174022,0.0,0.0,0.0,0.0,0.0
7,81,0.4919960742187976,0.0,0.0,65.0,2.0,0.0,0.0,0.0,0.0,6.015679553,0.0,0.0,0.0,0.0,0.0
7,82,0.5354329665893114,0.0,0.0,61.0,0.0,0.0,0.0,0.0,0.0,3.326086654,0.0,0.0,0.0,0.0,0.0
7,86,1.1105526870434557,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,12.559267022,0.0,0.0,0.0,0.0,0.0
7,87,0.07167822745985707,0.0,0.0,86.0,1.0,0.0,0.0,0.0,0.0,16.566179331,0.0,0.0,0.0,0.0,0.0
7,89,-42.27849654575175,84.0,28.0,2420.0,305.0,0.0,0.0,0.0,0.0,142.967178334,0.0,0.0,0.0,0.0,0.0
7,92,0.8716664378161454,0.0,0.0,28.0,0.0,0.0,0.0,0.0,0.0,5.246500076,0.0,0.0,0.0,0.0,0.0
7,94,0.30483716186502524,0.0,0.0,46.0,3.0,0.0,0.0,0.0,0.0,10.987998020000001,0.0,0.0,0.0,0.0,0.0
7,96,-0.3080016342419078,0.0,0.0,236.0,14.0,0.0,0.0,0.0,0.0,11.161801169,0.0,0.0,0.0,0.0,0.0
7,97,-2.5241917492183927,19.0,4.0,465.0,29.0,0.0,0.0,0.0,0.0,31.193040427,0.0,0.0,0.0,0.0,0.0
7,100,0.9207916011897496,0.0,0.0,64.0,0.0,0.0,0.0,0.0,0.0,3.538243996,0.0,0.0,0.0,0.0,0.0
7,101,-30.620812285152507,72.0,0.0,1450.0,463.0,0.0,0.0,0.0,462.2314,200.080501004,0.0,0.0,0.0,0.0,0.0
7,102,0.41008514600840246,0.0,0.0,90.0,0.0,0.0,0.0,0.0,0.0,2.773280183,0.0,0.0,0.0,0.0,0.0
7,103,-0.1449460685227077,0.0,0.0,65.0,0.0,0.0,0.0,0.0,0.0,3.558865361,0.0,0.0,0.0,0.0,0.0
7,106,-1.2238947760512893,0.0,0.0,46.0,6.0,0.0,0.0,0.0,19.8505,30.317279599999996,0.0,0.0,0.0,0.0,0.0
7,107,0.07758383542510694,0.0,0.0,277.0,4.0,0.0,0.0,0.0,0.0,20.611259616,0.0,0.0,0.0,0.0,0.0
7,108,-0.004260480259720656,8.0,0.0,256.0,27.0,0.0,0.0,0.0,0.0,38.888618459999996,0.0,0.0,0.0,0.0,0.0
7,111,0.6521583347932662,0.0,0.0,47.0,0.0,0.0,0.0,0.0,0.0,4.871441562,0.0,0.0,0.0,0.0,0.0
7,114,0.5606752196690308,0.0,0.0,7.0,3.0,0.0,0.0,0.0,0.0,6.976078515999999,0.0,0.0,0.0,0.0,0.0
7,121,0.6531336088239144,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.495826269,0.0,0.0,0.0,0.0,0.0
7,124,0.4284950584625408,0.0,0.0,21.0,0.0,0.0,0.0,0.0,0.0,2.726023841,0.0,0.0,0.0,0.0,0.0
7,125,0.7402600201998023,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.904398699,0.0,0.0,0.0,0.0,0.0
8,2,1.2600922339560454,0.0,0.0,11.0,1.0,4.0,0.0,0.168673684,0.0,31.70254608,0.0,0.0,0.0,0.0,0.0
8,4,12.245224762773285,0.0,0.0,2.0,0.0,0.0,0.0,0.0,60517.86000000001,10.503884595,0.0,0.0,0.0,0.0,0.0
8,5,0.6339040661236629,0.0,0.0,23.0,0.0,5.0,0.0,0.087724444,0.0,26.52472763,0.0,0.0,0.0,1.0,6.0
8,9,0.33944638508456004,30.0,0.0,142.0,2.0,0.0,0.0,0.0,0.0,23.820239088,0.0,0.0,0.0,1.0,1.0
8,10,-0.46302968157683194,0.0,0.0,16.0,0.0,6.0,0.0,0.0,0.0,37.189587947999996,0.0,0.0,0.0,1.0,1.0
8,11,-1.9200841350272273,6.0,0.0,52.0,12.0,8.0,0.0,0.299216667,0.0,33.515481853,0.0,0.0,0.0,0.0,0.0
8,12,0.8317072435563457,0.0,0.0,35.0,0.0,0.0,0.0,0.0,0.0,3.701961181,0.0,0.0,0.0,0.0,0.0
8,13,0.7204356354803336,0.0,0.0,3.0,0.0,1.0,0.0,0.0,0.0,12.28559518,0.0,0.0,0.0,7.0,7.0
8,14,0.38884118827082603,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,3.833131015,0.0,0.0,0.0,0.0,0.0
8,17,2.464033280246439,6.0,0.0,417.0,58.0,1.0,0.0,0.0,34.300448656,114.230120105,0.0,0.0,0.0,3.0,3.0
8,19,-50.10652901084436,271.0,12.0,7006.0,367.0,3.0,0.0,0.036217778,5571.1301,556.083747556,0.0,0.0,0.0,209.0,209.0
8,21,2.11345110667589,0.0,1.0,119.0,11.0,9.0,0.0,0.30500000000000005,17.872600000000002,86.53350580800002,0.0,0.0,0.0,9.0,9.0
