state_code,municipality_code,year,smr,support,social_assistance,outpatient_consultation,hospitalization,support_cumsum,social_assistance_cumsum,outpatient_consultation_cumsum,hospitalization_cumsum,risk_count,risk_concentration_sure,risk_concentration_possible,st_risk,concentration,electricity_fuel,firewood_fuel,oil_fuel,IMN_2020,dumps,biomass,carpentry,cement_gypsum,sugarcane_cultivation,chemical_manufacturing,pesticide_manufacturing,gas_stations,incinerator,sugar_mill,brick_factory,mining,paper_mill,solvent_paint,high_traffic_supply,high_traffic_alameda,high_traffic_station,ndeaths_y,ed,population,excess,support_metric,social_assistance_metric,outpatient_metric,hospitalization_metric,health,support_exp,social_assistance_exp,outpatient_consultation_exp,hospitalization_exp,support_cumsum_exp,social_assistance_cumsum_exp,outpatient_consultation_cumsum_exp,hospitalization_cumsum_exp,risk_count_exp,risk_concentration_sure_exp,risk_concentration_possible_exp,st_risk_exp,concentration_exp,electricity_fuel_exp,firewood_fuel_exp,oil_fuel_exp,IMN_2020_exp,dumps_exp,biomass_exp,carpentry_exp,cement_gypsum_exp,sugarcane_cultivation_exp,chemical_manufacturing_exp,pesticide_manufacturing_exp,gas_stations_exp,incinerator_exp,sugar_mill_exp,brick_factory_exp,mining_exp,paper_mill_exp,solvent_paint_exp,high_traffic_supply_exp,high_traffic_alameda_exp,high_traffic_station_exp,support_metric_exp,social_assistance_metric_exp,outpatient_metric_exp,hospitalization_metric_exp,health_exp,next_excess
2,3,2022,4.431239171175491,0.0,0.0,0.0,0.0,0.0,0.0,73.0,16.0,1.0,0.0,0.0,40.0,1.0773,0.0,0.0,0.0,58.838722632,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,20,15568.760828824508,12737,4.431239171175491,0.0,0.0,1136519.5405041892,249100.17326119213,1385619.7137653814,0.0,0.0,10.326445139774677,0.4502659345425039,0.0,0.0,32.85353566125059,7.444947243692421,1.0,0.0,0.0,40.0,21.536701593577313,0.0,0.0,0.0,58.838722632,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,238565.1445786351,55892.02117784321,294457.1657564784,4.431239171175491
2,4,2022,-110.88065036838225,0.0,0.0,0.0,0.0,109.0,12.0,25075.0,12969.0,0.0,0.0,0.0,5.0,13960.7620519,0.0,0.0,0.0,632.369447156,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,1421,1531880.6503683822,4868466,-110.88065036838225,166974990.89015368,18382567.804420587,38411907307.98718,19866960154.62755,58464225021.3093,4.093737026304804,0.3592421635430272,1674.8420720180147,6049.105880779685,31.21899650020871,5.174398892682481,7834.482507212053,12444.538365689214,0.0,0.0,0.0,5.0,108880.22712664101,0.0,0.0,0.0,632.369447156,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,41670303.13277731,5909454.900448784,10457072527.559084,9488312278.76101,19992964564.353317,-110.88065036838225
2,5,2022,1.9402401793545891,0.0,0.0,0.0,0.0,0.0,0.0,132.0,33.0,0.0,0.0,0.0,9.0,7559.845600000001,0.0,0.0,0.0,75.130914588,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,11,9059.759820645411,16117,1.9402401793545891,0.0,0.0,1195888.2963251942,298972.07408129855,1494860.3704064926,0.0,0.0,7.965962587668011,16.30226757546538,0.0,0.0,34.53138582784835,31.262166033860595,0.0,0.0,0.0,9.0,2641.067108797341,0.0,0.0,0.0,75.130914588,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,227555.75787986268,113352.88159283028,340908.63947269303,1.9402401793545891
2,6,2022,-1.0225764607442498,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,68.034852063,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,3022.5764607442497,558,-1.0225764607442498,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,68.034852063,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0225764607442498
3,1,2022,-1.5493432384403123,0.0,0.0,0.0,0.0,32.0,0.0,295.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,71.747099824,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,5549.343238440312,3525,-1.5493432384403123,177578.98363009,0.0,1637056.255339892,83240.14857660468,1897875.3875465868,1.1977347184552918,0.0,15.211778875218451,0.574937518455292,9.243040349349453,0.0,98.37777636116023,4.076187149349452,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,71.747099824,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52502.743296174194,0.0,530355.3832071809,23830.92517729307,606689.051680648,-1.5493432384403123
3,2,2022,-1.5015827253907044,0.0,0.0,0.0,0.0,22.0,0.0,303.0,16.0,0.0,0.0,0.0,0.0,4.4104,0.0,0.0,0.0,60.93057599,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,3501.5827253907046,953,-1.5015827253907044,77034.8199585955,0.0,1060979.5657933834,56025.32360625127,1194039.7093582302,0.86815761875,0.0,19.705390349018096,2.8795504671495777,5.50500524375,0.0,123.66757501486795,10.056039035710993,0.0,0.0,0.0,0.0,7.2594807091920615,0.0,0.0,0.0,60.93057599,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33356.80166223732,0.0,615794.1777151322,39960.06895871538,689111.0483360849,-1.5015827253907044
3,3,2022,17.680603446948652,0.0,0.0,0.0,0.0,409.0,11.0,1974.0,212.0,0.0,0.0,0.0,0.0,7590.6431,0.0,0.0,0.0,257.388777782,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,89,71319.39655305135,114741,17.680603446948652,29169633.190198004,784513.3620835649,140784488.79572338,15119712.069246886,185858347.41725183,15.425597687499998,0.33926535226664545,75.78986006600712,8.291729016236559,115.9136439375,4.553958306933736,573.0066570751072,54.45714869150539,0.0,0.0,0.0,0.0,4457.955234941091,0.0,0.0,0.0,257.388777782,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4715585.143750243,184980.59346733446,23322754.053158816,2300385.2368701156,30523705.027246512,17.680603446948652
3,8,2022,0.061092082585957996,0.0,0.0,0.0,0.0,81.0,0.0,833.0,257.0,0.0,0.0,0.0,0.0,59.1533,0.0,0.0,0.0,205.920473019,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,74,73938.90791741404,157292,0.061092082585957996,5989051.541310537,0.0,61591110.29520589,19002299.334775407,86582461.17129183,1.9811003125000002,0.0,35.34406012812051,7.3116955630580085,12.674094062500002,0.0,177.61666457872133,58.51278430189785,0.0,0.0,0.0,0.0,24.63960919995546,0.0,0.0,0.0,205.920473019,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,535683.482176197,0.0,5968146.978180382,1873767.4546035118,8377597.914960092,0.061092082585957996
3,9,2022,0.7379789909749963,0.0,0.0,0.0,0.0,10.0,0.0,13.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.414046349,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,262.0210090250037,14,0.7379789909749963,2620.210090250037,0.0,3406.273117325048,1048.0840361000148,7074.5672436751,0.261725,0.0,0.47188904687500005,0.17147500000000002,1.4172250000000002,0.0,3.1316081093749997,0.7419750000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.414046349,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,900.7989015845621,0.0,2155.9739989202453,574.6236222270679,3631.396522731876,0.7379789909749963
4,2,2022,-27.85591148781954,0.0,0.0,0.0,0.0,130.0,38.0,772.0,113.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,123.35868462400002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46,73855.91148781954,107564,-27.85591148781954,9601268.49341654,2806524.6365371426,57016763.668596685,8345717.998123608,77770274.79667397,5.086441074999999,1.3830390970488375,32.77946123580078,4.562390791477107,33.357619575,11.722257156072082,188.20423484902733,26.31457496193498,0.0,0.0,0.0,0.0,10321.542258827352,0.0,0.0,0.0,123.35868462399999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1804540.1653367272,609398.623497532,10395159.710765142,1492862.6912025595,14301961.19080196,-27.85591148781954
